4.900000000000000000e+01 2.018000000000004057e-04 4.196226876611915818e-05
5.800000000000000000e+01 3.700000000000002115e-04 1.131724348063590152e-05
6.700000000000000000e+01 4.977999999999996317e-04 1.615524682572159145e-05
7.900000000000000000e+01 6.763999999999999613e-04 1.938164079741443854e-05
9.200000000000000000e+01 7.683999999999995955e-04 1.444049860634934125e-05
1.070000000000000000e+02 8.517999999999997796e-04 1.439303720553793023e-04
1.250000000000000000e+02 1.035600000000000452e-03 6.468421754956892814e-05
1.460000000000000000e+02 1.381000000000001584e-03 2.016807378011108761e-04
1.700000000000000000e+02 1.086399999999998435e-03 8.252543850231754618e-05
1.990000000000000000e+02 1.378000000000004222e-03 2.172187837181932473e-05
2.320000000000000000e+02 2.023800000000003547e-03 1.549341537557139621e-04
2.710000000000000000e+02 3.122199999999997286e-03 3.591478804057776820e-05
3.160000000000000000e+02 4.357800000000000215e-03 2.345446652558383279e-05
3.680000000000000000e+02 6.396200000000007262e-03 4.127023140232358205e-05
4.300000000000000000e+02 1.038340000000004260e-02 2.588269846828434879e-04
5.010000000000000000e+02 1.563600000000002835e-02 1.692366390590351998e-04
5.840000000000000000e+02 2.449960000000004495e-02 2.442629075402600919e-04
6.810000000000000000e+02 3.812040000000020690e-02 3.724148224760150312e-05
7.950000000000000000e+02 6.107620000000082289e-02 2.140075512684179308e-04
9.270000000000000000e+02 9.292779999999964402e-02 5.615877776448970462e-04
1.081000000000000000e+03 1.559967999999997690e-01 3.045148789797465401e-03
1.261000000000000000e+03 2.395036000000004550e-01 9.712955260269775029e-03
1.470000000000000000e+03 3.692051999999961254e-01 7.530855310785480178e-03
1.715000000000000000e+03 5.861510000000066389e-01 3.190001893416530895e-03
2.000000000000000000e+03 7.098517999999955919e-01 4.242664156720455521e-02
