val_loss,train_loss
140667.15625,
79396.5625,39807.2109375
70033.8828125,35484.80859375
67551.0546875,34026.7734375
66545.0703125,32653.23046875
65845.8828125,33020.5078125
65450.1171875,33469.81640625
64999.63671875,31995.40625
64789.88671875,32951.3203125
64546.66796875,32534.552734375
64317.30078125,31981.302734375
64193.56640625,30555.421875
64160.87109375,31170.23046875
63976.3515625,32936.67578125
63892.77734375,32181.875
63931.359375,31736.521484375
63723.8515625,32527.81640625
63700.1171875,34032.6875
63581.34765625,32390.6484375
63522.83203125,29646.853515625
63562.9296875,30646.447265625
63417.7265625,33017.36328125
63516.43359375,31301.80078125
63371.11328125,32300.94921875
63441.4921875,32395.359375
63274.40625,30774.9609375
63269.46484375,29425.720703125
63493.7109375,32727.87109375
63139.96875,30530.509765625
63233.046875,32058.419921875
63145.6640625,31705.796875
63266.93359375,31758.009765625
63104.51171875,30212.669921875
63070.5234375,32127.689453125
62921.56640625,32981.0078125
62928.1328125,32692.0703125
62887.359375,31222.205078125
62868.12890625,31313.85546875
62814.96484375,30182.62109375
62788.68359375,32057.681640625
62760.78515625,31860.107421875
62863.2109375,31757.9140625
62764.26171875,31966.40234375
62724.46484375,32285.712890625
62749.23046875,31954.236328125
62870.76171875,32150.775390625
62618.9453125,32127.44140625
62640.07421875,30643.09375
62609.9140625,31318.865234375
62535.359375,31789.71484375
62710.90234375,32435.408203125
62637.265625,31950.119140625
62533.28125,30398.484375
62463.171875,32248.5703125
62453.75390625,31541.7578125
62438.9765625,31352.8203125
62466.9296875,29697.3671875
62445.828125,31183.12890625
62416.67578125,32320.8125
62399.35546875,31104.015625
62414.453125,31236.126953125
62484.99609375,31708.96484375
62412.4765625,31167.80859375
62332.3515625,31687.6953125
62338.01953125,31687.654296875
62357.390625,30748.80078125
62369.54296875,29471.81640625
62270.9609375,31673.525390625
62287.33984375,30618.375
62373.578125,31903.296875
62224.0546875,31645.541015625
62290.74609375,31823.90625
62249.6015625,33212.78515625
62359.47265625,31277.85546875
62286.96484375,32013.353515625
62240.7421875,30526.06640625
